Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Data Entry Operator,Cuttack,,Back Office Department,0 Sep 2020,5.0,4.0,4.0,4.0,5.0,5.0,5.0,Time to get salary,All over goods
Manager Maintenance And Utilities,Hyderabad,,,3 Feb 2022,5.0,4.0,4.0,5.0,5.0,4.0,5.0,He left me,Good senior management.
Sales Girl,Rajiv Chowk,,Isp Department,1 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,"A team building organisation, always willing to experiment and do continual upgradation on new technologies, optimum uses if software, working for satisfaction of trade partners and end customers. Very transparent with the employees, opportunities to learn, self development , continuous value additions etc."
Area Manager,Patna,,,6 Dec 2019,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"Nothing much, only some time's the pressures and conflicts pop up which are manageable.",Overall this is good company but Work environment and work life balance are best theme of this company
Regional Manager -Sales Rural Business Development,Indolre,,"Sales, Rural business development Department",0 Mar 2019,5.0,4.0,5.0,4.0,5.0,5.0,5.0,Travel policy,
Area Sales Manager,Indore,,BD / Pre Sales Department,2 Jul 2019,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,
Territory Executive,Kolkata,Intern,Sewing Machine Department,7 Jul 2019,4.0,2.0,4.0,3.0,3.0,4.0,4.0,"Office envirement, like all are famely member",Too much paper work and very systematic. Witch sales person dosen't like.....
Territory Sales Manager,Goregaon,,,9 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's a good company and has a great recognition in consumers. Best brand to work with.,Nothing
Hyderabad,Hyderabad,,Engineering & Manufacturing Department,6 May 2020,5.0,3.0,4.0,4.0,4.0,4.0,5.0,Management and Salary on time,Good to working inushainternational
Long Arm Sales Manager,Muzaffarnagar,,Retail & B2C Sales Department,0 Oct 2019,5.0,3.0,4.0,4.0,4.0,4.0,5.0,I was a sales promoter in USHA international  I got very very bad experience with USHA international they did not give training... And  USHA did not give allowance or claim properly,USHA did not give allowance or claim properly I didn't get my allowance and incentive properly I didn't get my incentive and allowance of October 2018 yet this is March 28 2019 ...and I also don't get my Pf  ..also very bad experience from bosses and also didn't get esi card
Sales Promoter,Balnagar,,Retail & B2C Sales Department,8 Jul 2020,3.0,5.0,5.0,4.0,4.0,5.0,3.0,I have learn many things that I didn’t now and my boss always motivate me.,Working hours
Sales Executive,Kochi,,,8 Mar 2019,1.0,3.0,4.0,3.0,3.0,4.0,2.0,Good work environment and culture. Supervisor was very supportive and acquired a huge knowledge from her.,Nothing
Sales Officer,Indore,,Sales  Department,8 Aug 2019,5.0,1.0,1.0,1.0,1.0,1.0,1.0,"Usha company is trusted brand.. very good, but more planning and increase the sale",I have working more 3.5 years.. more experience and product knowledge.. but not grow
Intern,Gurgaon,,,6 Sep 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Senior Territory Sales Manager,Lucknow,,Enterprise & B2B Sales Department,4 Mar 2020,4.0,4.0,4.0,3.0,4.0,5.0,4.0,,
Sales Executive And Marketing,Mumbai,,Cooking and Fabric care Department,0 Jul 2019,4.0,4.0,4.0,3.0,5.0,4.0,3.0,,
,,,,,,4.0,4.0,3.0,5.0,4.0,3.0,,
,,,,,,4.0,4.0,4.0,5.0,4.0,3.0,,
Quality Auditor,Goregaon,Full Time,Quality Control Department,6 May 2021,5.0,5.0,3.0,5.0,5.0,5.0,3.0,Good work environment.,Nothing
Sales Engineer,Ghaziabad,Full Time,Retail & B2C Sales Department,8 Feb 2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Very nice company in India,It's good place to grow your carrier
Area Sales Manager,Ahmedabad,Full Time,BD / Pre Sales Department,4 Jan 2020,5.0,1.0,1.0,1.0,1.0,1.0,1.0,Everything is good,Company policy for employees is good
Territory Manager   (working remotely),,,Retail & B2C Sales Department,1 Dec 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Company is employees friendly but  admin sah delhi ncr  & Rm hr North  negative mind set they are harassing 
Honest old employees & compelling for resign.",Heard work
Assistant Manager,Agra,,Enterprise & B2B Sales Department,6 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Safety for all employees,Managers do not value an individuals
Sales,Gbd,,Retail & B2C Sales Department,1 Apr 2021,5.0,2.0,5.0,4.0,3.0,2.0,3.0,No,No
Iti Fitter,Hyderabad,,"Operations, Maintenance & Support Department",7 Oct 2019,1.0,3.0,5.0,1.0,1.0,2.0,1.0,Innovation,Career growth
Sales Executive,Orai,,,6 Dec 2019,5.0,1.0,1.0,2.0,3.0,1.0,1.0,Usha International Ltd is good organization and working culture is nice.,Growth is very slow and no innovation.
Lasm,Gurgaon,,Enterprise & B2B Sales Department,3 Aug 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Astt.Manager -Quality Management,Gurgaon,,Production & Manufacturing Department,3 Jul 2019,4.0,5.0,5.0,5.0,5.0,5.0,3.0,,
,,,,,,4.0,3.0,3.0,5.0,5.0,4.0,,
Assistant Regional Manager,Cuttack,Full Time,,1 Jan 2021,4.0,4.0,5.0,4.0,4.0,4.0,5.0,"Working Culture and employee friendly.
Skill development, trainings, timely salary and brand",Good growth Good environment
Warehouse Executive,,,SCM & Logistics Department,5 Feb 2019,5.0,4.0,2.0,4.0,5.0,5.0,5.0,job security was really very poor,trainig process are informative and great .
Lasp,JAIPUR,,,6 Nov 2019,3.0,3.0,5.0,2.0,1.0,2.0,3.0,Good for Working Environment,No Carrier Growth
Territory Manager,,,Marketing Department,1 Nov 2019,3.0,3.0,3.0,3.0,3.0,3.0,2.0,My teammates is  very helpful for me and also work environment is so good,"Compensation is decent, but growth is slow...."
Commercial Incharge Rural Business Division,Gurgaon,,Rural Department,0 Oct 2019,4.0,3.0,3.0,3.0,3.0,3.0,2.0,usha international best company for me and provided best opporutunity and product traning . usha is a famlier orafanaizatio.,usha usha is the best company and provided traning in product.
Direct Sales Executive,Indore,,Marketing Department,5 Jul 2019,3.0,4.0,4.0,3.0,5.0,4.0,4.0,Good and cooperative environment. Company cares over all employees and develops their skills and knowledge,No any issues
Rural Sales Representative,Bhopal,,,2 Mar 2019,5.0,3.0,4.0,3.0,3.0,3.0,2.0,"Career growth, salary, my work-life balance of twenty five years",Only career growth and salary
Sales Executive,Patna,,,6 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work life balance,"Culture, crowd, job satisfaction, job security, work environment, no improvisation, no learning, poor management planning and support, politics, no overall learning, no growth opportunities. Sad place"
Usha International Ltd,Nagpur,,Marketing. Fan/C.App/all ele division  Department,1 Sep 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Manager - Corporate Hr,Gurgaon,,,1 Mar 2019,1.0,4.0,3.0,3.0,4.0,4.0,4.0,,
,,,,,,3.0,1.0,3.0,1.0,1.0,1.0,,
Customer Care Executive,"Gurgaon/Gurugram, Haryana",Full Time,,4 Nov 2022,4.0,3.0,3.0,3.0,3.0,2.0,3.0,As a indian company it is good. We should always support.,Due to my health issues I requested to leave for 2 months but did not agree and said to give resignation. Then I did.
Sales Marketing Technician Sewing Machine,Gzb Noida,Full Time,Technician Department,0 Oct 2019,4.0,4.0,4.0,4.0,4.0,3.0,2.0,16000 sewing machine technician,15000
Assistant Manager,Faridabad,Full Time,Production & Manufacturing Department,2 Apr 2019,4.0,5.0,4.0,4.0,5.0,5.0,4.0,"Job security, career growth and learning work and work life is good.",My family issue and company shifting to Hyderabad
Usha International.,Ernakulam,Full Time,Retail & B2C Sales Department,3 Oct 2019,4.0,4.0,5.0,4.0,5.0,5.0,5.0,I love this firm.. and superiors...,Easy and sooper .....
Manager-Lighting Applications,Gurugram,,lighting Department,0 May 2019,2.0,4.0,2.0,1.0,2.0,1.0,1.0,Only Work Life balance,"Compensation, working environment, laziness of staff working, travel policies"
"DDM, Visual Merchandising",GURUGRAM,,Marketing Department,6 Oct 2019,4.0,5.0,3.0,5.0,3.0,3.0,4.0,Work-Life balance,Job security
