Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Deputy Manager,Pune,,Supply Chain Management Department,0 May 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Everything!!!
Working hours
Politics
Work load
Compensation (Cheated campus hired students)
Everything!",I fell very happy in this time for whirlpool company because this company american company and very growths full industry and whirlpool produced is good brand.
Sales Executive,No Idea,,,8 Feb 2022,5.0,4.0,4.0,3.0,4.0,3.0,3.0,I am not dislike whirlpool produced,The good part is the atmosphere and working culture
Cooling Engineer,Pune,,Engineering Department,1 Apr 2022,5.0,4.0,4.0,4.0,4.0,4.0,4.0,As it is a corporate life so internal politics is more,
Marketing Manager,Pune,Full Time,Marketing Department,4 Apr 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Work life balance is excellent..,Growth..
Software Engineer,Pune,Full Time,Software Development Department,9 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work life balance,Politics
Commodity Manager,Gurugram,Full Time,Procurement & Purchase Department,6 May 2022,4.0,3.0,3.0,3.0,5.0,4.0,3.0,Bonus benefits and proper work life balance,Organisation could not show a proper career path
Commercial Manager,Kalur,Full Time,Accounting & Taxation Department,2 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All good environment,Nothing  dislikes
Team Leader,Nagpur,,Marketing Department,9 Nov 2021,5.0,4.0,4.0,4.0,4.0,4.0,4.0,"Best work culture , management is Slow but good",System is very slow... regarding evrything .. delayed resolution on every section
Financial Analyst,Ranjangaon,,Accounting & Taxation Department,1 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Whirlpool of India Limited is good company,Work Culture is good
Area Sales Manager,"Guwahati, Assam",,Enterprise & B2B Sales Department,5 Sep 2023,5.0,4.0,5.0,4.0,4.0,5.0,3.0,Career growth is poor,Training opportunities
Senior Engineer,Pune,,Engineering & Manufacturing Department,0 May 2022,5.0,4.0,5.0,4.0,5.0,5.0,5.0,Promotion criteria is not clearly defined.,Leaves and work from home
Helpdesk Coordinator,NOIDA,,Operations Department,3 Mar 2023,5.0,3.0,3.0,3.0,2.0,3.0,1.0,Politics and workoverload,Leadership
Senior Executive Crm,Gurgaon/Gurugram,,IT Network Department,3 Apr 2022,4.0,4.0,5.0,4.0,4.0,4.0,3.0,Corporate policies,
Area Sales Manager,Jhanai,Full Time,Enterprise & B2B Sales Department,2 Jun 2022,4.0,4.0,4.0,3.0,4.0,3.0,3.0,Brand,Very late response
Sales And Strategy Manager,Gurgaon/Gurugram,Full Time,BD / Pre Sales Department,8 Dec 2021,4.0,3.0,3.0,2.0,5.0,4.0,3.0,"Job security is very good, open work culture. Good to work",No fixed policy to promote people. No career path planning.
Executive,GURUGRAM,Full Time,Accounting & Taxation Department,2 Jun 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Worst place to work,Work Culture.
Branch Commercial,"Varanasi, Uttar Pradesh",Full Time,,1 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing for Dislikes.,Growing the talent within organisations.
Area Sales Manager,Faridabad,Full Time,Sales Support & Operations Department,9 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,Senior Management is really supportive
Part Support Executive,Lucknow,,After Sales Service & Repair Department,0 Apr 2022,4.0,3.0,3.0,3.0,4.0,4.0,3.0,Third party culture of work,Great Place to work.
Deputy Manager,Ranjangaon MIDC,,Finance Department,4 May 2022,4.0,3.0,4.0,4.0,4.0,3.0,4.0,Travelling,Culture and policies
Deputy Manager,Gurgaon,,Construction / Manufacturing Department,5 Apr 2022,5.0,5.0,5.0,5.0,4.0,5.0,4.0,Internal gimmick,Freedom to work
Software Analyst,Pune,,Quality Assurance and Testing Department,0 Apr 2022,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Yes,I like working
Retail Sales Executive,Mumbai Suburban,,,9 Apr 2022,5.0,5.0,4.0,4.0,5.0,4.0,5.0,,
Repairing,Munger,Full Time,Software Department,4 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Mobile repairing working,Whirlpooling working and nice
Senior Engineer,Pune,Full Time,Software Development Department,8 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work culture and recognition of employees,Not applicable
