Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Sales Executive,Bhopal,,Retail & B2C Sales Department,9 Nov 2021,5.0,5.0,5.0,3.0,2.0,5.0,5.0,Panasonic India Private Limited my issue my team leader my sales managers job related issue,
Assistant Manager Finance,Jhajjar Factory,Full Time,Accounting & Taxation Department,9 Apr 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Only Political and Boss Ke Chamche can survive in this company.,Only political and Boss Ke Chamche can survive in this company.
Jhjjar,All India,Full Time,Quality Assurance & Quality Control Department,5 Sep 2022,4.0,5.0,2.0,3.0,3.0,2.0,3.0,Panasonic is great company,Panasonic is great company
Senior Production Engineer,Haridwar,Contractual,"Operations, Maintenance & Support Department",7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best place to work,Nothing
Assistant Manager,Gurgaon,,,9 Aug 2021,3.0,5.0,1.0,3.0,4.0,3.0,2.0,"The company is a fine company if someone is looking for stability. It might give you a vibe of a govt entity. 
There is a strict 'No Work From Home' policy. (Big negative) 
The company is easy going, it will provide you a good settling-in period. 
People are good/ Management looks dynamic but retrogressive with certain policies","- No Work From Home (WFH) 
- Little to no investment on employee learning and development 
- Strict 9 Hrs policy ( you have to spend 9 Hrs in office) 
- Career progression is on slower side 
- Limited learning opportunity within the organization as people don't want to share"
Operator,Jhajhar,,"Operations, Maintenance & Support Department",3 Jun 2022,4.0,3.0,5.0,4.0,5.0,4.0,5.0,Good work environment and culture. Teammates are supportive and the management is transparent.,Facilities are not good like cafeteria & some others.
"Branch Coordinator -Mumbai, Thane, Nashi, Goa,","Mumbai, Maharashtra",,Customer Service Department,0 Aug 2022,5.0,5.0,5.0,5.0,3.0,5.0,3.0,Good,"No any dislikes, all ok"
Product Manager,Gurgaon,,Marketing Department,3 Apr 2022,3.0,5.0,3.0,5.0,3.0,3.0,3.0,The team is very supportive,The process maps defined in the system for internal approvals are too lengthy
Sales Officer,Ghaziabad,,Enterprise & B2B Sales Department,0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work environment and culture. Supportive teammates.,Air conditioner refrigerator washing machine Led Tv
Service Engineer,Madurai,,,2 Jun 2022,4.0,5.0,3.0,5.0,5.0,5.0,5.0,Working time,"None,"
