Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Executive,Mumbai,Contractual,Operations Support Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very nice and helpful atmosphere in office.,Working on Weekend. (Saturday & Sunday is off.)
Driver,Guntur,Full Time,Other Department,7 Jul 2023,4.0,4.0,2.0,3.0,3.0,4.0,3.0,Yas,"Very good super exipirens very nice
I am also happy job"
Service Head Consumer Care - Karnataka,"Bengaluru/Bangalore, Karnataka",Full Time,After Sales Service & Repair Department,6 Jul 2023,4.0,3.0,3.0,4.0,4.0,4.0,1.0,Company is good to work,"Less man power , more work load"
Store Incharge,Mumbai,Full Time,Stores & Material Management Department,4 Jul 2023,5.0,4.0,3.0,5.0,4.0,5.0,5.0,Company culture,Need to some more improvement
Senior Manager,Mumbai,Full Time,BD / Pre Sales Department,2 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Great Working Culture and Supporting staff,Nothing to say anything
CP Manager-Trade Sales,"Kolkata, West Bengal",Full Time,Sales Department,9 Jul 2023,5.0,2.0,5.0,5.0,5.0,5.0,3.0,"Excellent organisation in terms of skill development learning,process orientation
Working with Sop",Slow promotion
Area Sales Manager,Hyderabad,Full Time,Enterprise & B2B Sales Department,9 Jul 2023,1.0,1.0,5.0,3.0,1.0,1.0,5.0,"Wast management , my career spoiled","Politics .
I worked under drinkers and useless fellows."
Territory Sales Manager,"Chennai, Tamil Nadu",Full Time,Retail & B2C Sales Department,6 Jul 2023,5.0,5.0,3.0,5.0,5.0,5.0,4.0,Work balance,Company strategy not in current market
Yesh,Lucknow,Full Time,Other Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ITI kiya hun electrician trade se kiya hun mera naam Akhilesh hai,Mera naam Akhilesh hai
Sr.manager Commercial,Mumbai,Full Time,Finance Department,1 Jul 2023,5.0,5.0,4.0,5.0,4.0,4.0,4.0,Work Clutter is good,Nothing to dislike ke
Warehouse Incharge,Hyderabad,Full Time,SCM & Logistics Department,4 Jul 2023,3.0,5.0,4.0,4.0,4.0,4.0,4.0,Ok,RM level not understand lower employee problems
Regional Head Consumer Product,New Delhi,Full Time,Sales Support & Operations Department,3 Jul 2023,5.0,5.0,4.0,5.0,5.0,5.0,4.0,"Task  is well defined in system .
Excellent company to work .",Heartache
Manager,Mumbai,Full Time,Sales Support & Operations Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything,Nothing wrong in Bajaj Electricals
Software Engineering Lead,Mumbai,Full Time,IT Support Department,2 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Worst,Working culture and no promotion and appreciation for offrole
Billing Executive,"Bangalore Rural, Karnataka",Full Time,Operations Department,9 Jun 2023,5.0,3.0,2.0,3.0,2.0,4.0,3.0,Working place is good and i learn more from this work place thank you,There is no future working security
Senior Executive Commercial,Project Site,Full Time,"BFSI, Investments & Trading Department",6 Jun 2023,4.0,4.0,3.0,4.0,1.0,3.0,2.0,Working culture is good,Force fully taken resignation
Store Keeper,Mumbai,Full Time,Power Supply and Distribution Department,5 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Bajaj electricals limited is a very good Company .,
Regional Sales Manager,Patna,Full Time,Retail & B2C Sales Department,5 Jun 2023,4.0,2.0,4.0,5.0,4.0,3.0,2.0,"Highly accepted Brand in India, most of senior and colleges are very friendly.",Partiality with employee.
Marketing,"Etawah, Uttar Pradesh",Full Time,Banking Operations Department,4 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,My all senior sir is Nature is to good he is always motivate,No more
Office Administrator   (working remotely),,Full Time,Administration Department,3 Jun 2023,3.0,5.0,5.0,5.0,5.0,5.0,5.0,Any good doing,If environment atmosphere good
Senior Surveyor,"Vapi, Gujarat",Part Time,Surveying Department,3 Jun 2023,4.0,2.0,3.0,4.0,4.0,5.0,2.0,"Company is very good, good and benefits","This Rating for offroll candidates.
But,I personally don't like offroll jobs."
Site Supervisor,"Sonipat, Haryana",Full Time,Construction Engineering Department,2 Jun 2023,5.0,4.0,5.0,4.0,5.0,4.0,3.0,Best salary system,Fund system at site is dull
Area Sales Manager,"Kochi, Kerala",Full Time,Retail & B2C Sales Department,2 Jun 2023,1.0,1.0,1.0,4.0,1.0,1.0,3.0,Timely bounded salary and other expenses.,Work culture. Office setup
Senior Manager Operations,Mumbai,Full Time,"Operations, Maintenance & Support Department",0 Jun 2023,4.0,4.0,3.0,4.0,2.0,3.0,3.0,"Learnings
Work Freedom","HR policies 
Office Politics"
Deputy Manager,"Hyderabad/Secunderabad, Telangana",Full Time,SCM & Logistics Department,8 Jun 2023,5.0,5.0,4.0,5.0,4.0,4.0,4.0,Quite comfortable,Cross functional meetings are required to understand and discuss each other which helps organisational growth
Accountant,"Dhule, Maharashtra",Full Time,Back Office Department,1 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best quality and Service proper,No reason all best
Manager,Kolkata,Full Time,Sales Support & Operations Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work life balance,Not applicable
Section Incharge,"Gwalior, Madhya Pradesh",Full Time,Construction / Manufacturing Department,9 May 2023,5.0,4.0,5.0,5.0,4.0,5.0,4.0,Health Environment.,Timely promotion not done.
Manager- Sales,Patna,Full Time,Retail & B2C Sales Department,4 Aug 2023,4.0,5.0,3.0,5.0,4.0,4.0,3.0,Work Life balance,HR are least bothered for your concern
Area Sales Manager,"Hyderabad/Secunderabad, Telangana",Full Time,BD / Pre Sales Department,3 Jun 2023,3.0,2.0,3.0,3.0,2.0,3.0,2.0,RREP  CONCEPT,Lot of process to complete one task
Regional Sales Head,"New Delhi, Delhi",Full Time,Retail & B2C Sales Department,9 Jun 2023,4.0,3.0,3.0,5.0,4.0,5.0,4.0,Great & proud,Good but culture is changing
