Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Construction Manager ( Civil ),"Sultanpur, Uttar Pradesh",Full Time,Construction Engineering Department,7 Jun 2023,1.0,1.0,2.0,4.0,3.0,1.0,2.0,Salary on Time,"Poor management, zero WL Balance"
Executive Indirect Taxation   (working remotely),,Full Time,Accounting & Taxation Department,5 Jun 2023,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Relationship with colleagues and seniors,Slow progress
Mis Officer,"Ghaziabad, Uttar Pradesh",Full Time,Service Delivery Department,2 Jun 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Good experience,"Every thing is good, but distance problem"
Production Incharge,"Pantnagar, Uttarakhand",Full Time,Management Department,1 Jul 2023,1.0,1.0,2.0,2.0,3.0,1.0,2.0,Nothing,Everything is not good  using tata name only
Field Seles Executive,"Ghaziabad, Uttar Pradesh",Full Time,Retail & B2C Sales Department,8 Jun 2023,5.0,5.0,5.0,3.0,4.0,3.0,2.0,"Product quality and size, price warranty",Wead services and part not dlavr company'
Assistant Manager,"Visakhapatnam, Andhra Pradesh",Full Time,Engineering & Manufacturing Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Too much learning, learning depth of core business in multiple dimensions",Less salary
Dco,Ahmedabad,Full Time,Community Health & Safety Department,1 Jul 2023,4.0,3.0,4.0,3.0,3.0,2.0,3.0,Fire safety,Company Good but its management is outside and contract system
Quality Specialist,"Ahmedabad, Gujarat",Full Time,Quality Assurance Department,2 Jun 2023,4.0,4.0,4.0,3.0,4.0,3.0,3.0,"I Like About Work For As Quality Nice Journey at so far and everyday Some learn new things. 
Work Experience Is Good for our team and Middle shop floor mamber. 
I have started journey with A good Company And Best future of us. 
The lern maximum Things about Quality Assurance. 
How to Follow the rools and regulations and Like Good Behavior and Professional life and Culture
Thank you.",Overall Is Good as per Starting Phase.
Assistant Manager Electrical,"Bhubaneswar, Odisha",Contractual,"Operations, Maintenance & Support Department",7 May 2023,3.0,3.0,4.0,5.0,4.0,4.0,2.0,"I am working for Project Division, I like HR policies, Timely Salary & Infrastructure for personality development trainings.","No CFT review, Man oriented Descisions by company seniors & reporting Manager inspite of Company SOP or company requirements. Huge Politics instead of dedication to work."
Sales Manager,"Vadodara, Gujarat",Full Time,Retail & B2C Sales Department,4 May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"I developed the market from zero to what it is today to 20 direct dealers and 3 distributors 
I achieved highest market share in my territory highest display share was achieved by me 
Highest counter share was achieved by me.","High level of corruption in the company when honest employees try to raise their voice, their services are terminated without giving any showcase notice or any reason
Senior Management officials are involved in huge amount of corruption."
Quality Inspector,"Ahmedabad, Gujarat",Full Time,Quality Assurance and Testing Department,5 May 2023,4.0,4.0,5.0,4.0,4.0,5.0,4.0,"As per learning and knowledge perspective 'Voltas beko' is one of the best company , I've ever seen.","Traveling from home to workplace is nearly about 2hrs , so in rotational shift . So, it is difficult to travel in rotational shift."
Executive Hr,"Vadodara, Gujarat",Full Time,Human Resources Department,9 Mar 2023,2.0,3.0,3.0,3.0,4.0,1.0,3.0,- Voltas gives you great opportunity to learn and enhance various skills.,"- No H&T with previous employee. 
- 17 to 18km far from vadodara still company not provide transportation. 
- Not all managers are supportive. 
- less work Transferancy between manager and team member. 
- many process are manual."
CcAmc,Mumbai,Full Time,Customer Success Department,8 May 2023,5.0,5.0,3.0,4.0,5.0,5.0,3.0,"Voltas it's Tata Company, that's why I like to work.Tata is equal to Trust and Faith That's it.i personally attached with Tata family.","No Educate to his permanent Workers to better work for company.Because they don't want permanent staff.
Want to work with Third party contract Labour."
Bim Modeller,"Thane, Maharashtra",Full Time,Engineering Department,9 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing to like..just wasting time.,"Office is still 1954 style .management is worst and arrogant they spent 25 years in the same so they think this is the only company left in the world i found world’s most lazy people in admin and accounts department they just want emails for every need even stationary.
They hire you for the position which is not in your scope of work.
I advice you please dont join the company in the name of Tata and Permanent position they just make you their slave and they give you work which is not is your skill and you forget skills which you learned from all of your hardwork....Read More"
Modern Trade Key Account Manager,"Mumbai, Maharashtra",Full Time,Retail & B2C Sales Department,6 Nov 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Great Place to work and gain experience, knowledge and understand the intricacies of the organisation and the industry, with very little scope of hand holding and support from the limited resources in hand gives good exposure to an individual to work with all the departments and verticals.",Lacks the aggression for Business expansion and have the competitive edge to fight and sustain the Market & Counter share.
Graduate Apprenticeship Trainee,"Sanand, Gujarat",Intern,Quality Assurance and Testing Department,9 Mar 2023,2.0,2.0,2.0,1.0,2.0,2.0,1.0,Buses are comfortable. There are not too many restrictions.,"Management is substandard. Every senior post is occupied by Marathis. They don't even hire or appraise any other state candidates. The Company is full of Corrupt people. Food is filthy. People are harmful. They will let u know on the Saturday evening (7:30PM) that sunday is running.
 
No work-life management.
Quality is poor."
Site Engineer,"Bhubaneswar, Odisha",Full Time,Construction Engineering Department,7 May 2023,3.0,2.0,5.0,5.0,5.0,3.0,3.0,"Salary is credited on time 
Job security is really nice",There is zero work life balance in civil engineering jobs so its same in Voltas too
Assistant Manager Project,Kolkata,Full Time,Engineering Department,7 Jun 2023,4.0,5.0,5.0,3.0,5.0,4.0,3.0,Good for monthly salaries.,Salaries increment is very limited and salary increase rate is very slow.
Mep Draughtsman,Mumbai,Full Time,Engineering Department,6 Jun 2023,5.0,4.0,4.0,4.0,5.0,4.0,3.0,I am happy to work on this company,Lot of pressure working but learning many things
Safety Officer,Kolkata,Contractual,Occupational Health & Safety Department,0 Feb 2023,2.0,1.0,5.0,1.0,1.0,1.0,1.0,Nothing to like,"99% of  safety officers are didn't have proper educational qualification and also don't have proper INDUSTRIAL SAFETY CERTIFICATE from proper (GOVT Affiliated) college, they manage all the certificates from Bihar or other state, The only way to grow your career in Voltas Ltd is OILING."
