Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Executive Engineer,Neemrana,Full Time,Procurement & Purchase Department,6 Jul 2023,4.0,5.0,5.0,3.0,5.0,5.0,3.0,"Good Working systems, supportive Japnese and senior Management","Annual Apraisal is average.
Promotion takes long time."
Hr Admin,"Jaipur, Rajasthan",Full Time,HR Operations Department,4 Jul 2023,3.0,4.0,5.0,4.0,1.0,3.0,1.0,Overalls very good and learning experience.,Few of management  employees are not follow company rules and ethics.
Ac Technician,"New Delhi, Delhi",Full Time,Other Department,7 Jul 2023,3.0,4.0,3.0,3.0,4.0,4.0,3.0,Good company,Air noise sound problem in indoor
Production Supervisor   (working remotely),,Full Time,Production & Manufacturing Department,1 Jul 2023,4.0,4.0,3.0,4.0,4.0,5.0,4.0,I want to experience,This job are very hard
Production Engineer,Neemrana,Full Time,Product Management - Technology Department,8 Jun 2023,4.0,4.0,3.0,3.0,4.0,4.0,3.0,"System
Employee respect
Culture","Increment
Timing
Facilities"
Warehouse Executive,Neemrana,Full Time,SCM & Logistics Department,7 Jun 2023,4.0,5.0,1.0,4.0,5.0,2.0,2.0,Job security,"Office politics, learning opportunity and promotion."
Production Engineer,Neemrana,Intern,"BFSI, Investments & Trading Department",5 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Daikin is good company and any situation  shaporting all employees,No coses
Air Conditioning,"Vadodara, Gujarat",Full Time,After Sales Service & Repair Department,3 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,I am fully satisfied with daikin product,There is no problem With daikin product
Junior Engineer,"Neemrana, Rajasthan",Full Time,Production & Manufacturing Department,5 Jun 2023,4.0,3.0,3.0,3.0,4.0,4.0,3.0,Company's culture and safety for girls,Salary is too low
Salesman   (working remotely),,Full Time,Sales Support & Operations Department,3 Jun 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Ok goog to jujus fccvnx,Good company to join here
Junior Engineer,DAIPL Satara,Full Time,"Operations, Maintenance & Support Department",1 Jun 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,No parshality in between male and female,Canteen food
Administration Staff,"Chennai, Tamil Nadu",Full Time,Back Office Department,0 Jun 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Its very good company and its very easy to understand a software works,Nothing
Assistant Engineer,Neemrana,Full Time,Production  Department,3 Sep 2023,5.0,4.0,5.0,4.0,5.0,4.0,4.0,Nice company great environment and culture,No any abnormal conditions or point now
Sap Sd Consultant Lead,Gurgaon/Gurugram,Full Time,Software Development Department,3 Jun 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,"Work Life Balance, Friendly Environment",Appraisal not up to mark. Otherwise all okay
Junior Engineer,Neemrana,Full Time,Production & Manufacturing Department,8 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Daikin airconditing India private limited is everything is good,Only who is joining as a DET them salary is low
Junior Engineer,"Neemrana, Rajasthan",Full Time,Production & Manufacturing Department,7 Aug 2023,5.0,5.0,5.0,2.0,5.0,5.0,3.0,Daikin is the best for quality and employe befare,Sailari stachar
Engineer- Customer Service,"Chandigarh, Chandigarh",Full Time,Service Delivery Department,9 Jul 2023,4.0,4.0,4.0,3.0,4.0,3.0,3.0,Support from factory and seniors,"overload, less man power , delay in expense reimbursement"
Assistant Manager,"Surat, Gujarat",Full Time,BD / Pre Sales Department,9 Jun 2023,4.0,4.0,4.0,4.0,3.0,3.0,3.0,"No  1 Air-conditioning Brand  in the world , Salary.","Reimbursements process takes 45-50 days for settlement.
Leaves are granted after lot of justification.
Everyday update on whatsapp group where you are going  ,when you are in office."
Junior Engineer,"Neemrana, Rajasthan",Full Time,Engineering Department,0 Apr 2023,3.0,5.0,5.0,3.0,5.0,5.0,3.0,There are lot of learning in the company. For freshers this one is the best company for starting their career.,Salary and increment are not satisfactory in the company and also as like others company there are some politics in the company. Some of the seniors wants all the work is done at rhe end of their juniors.
Junior Engineer,"Neemrana, Rajasthan",Full Time,Production & Manufacturing Department,6 Mar 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,I like the most about the company their culture and supportive nature of the management. And it has equality for all the employee. The company,There is no any point at the moment that I can that share at the moment.
Procurement Executive,"Neemrana, Rajasthan",Full Time,Procurement & Purchase Department,8 Sep 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0,Everything is good,Nothing is
Quality Engineer   (working remotely),,Intern,Quality controller  Department,0 Sep 2023,3.0,4.0,3.0,2.0,5.0,3.0,2.0,Safety policy,Rules and regulations unfollow
Junior Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,4 Jun 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Daipl company  work in comfortable and relaxed,Work time duration 8 hours se 9 hours total dena padta h
Junior Engineer,Neemrana,Full Time,Management Department,6 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Culture,Nothing  ever thing is good
Junior Service Engineer,Nayapalli,Full Time,Customer Success Department,1 Jun 2023,4.0,4.0,5.0,2.0,4.0,3.0,3.0,All staff is good and supportive each other.,Im working last 5 years in this branch but only 2 time getting very minimal appraisal.
Area Service Manager,"Mumbai, Maharashtra",Full Time,Service Delivery Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,People centred management .,Nothing .
Assistant Engineer,New Delhi,Full Time,Production & Manufacturing Department,5 Aug 2023,4.0,4.0,4.0,4.0,5.0,5.0,4.0,Daikin is a best company for working,Not dislike
Manager Sales & Marketing,"Ahmedabad, Gujarat",Full Time,Retail & B2C Sales Department,7 Jun 2023,4.0,4.0,3.0,3.0,4.0,3.0,2.0,People to people connection and culture,Seems MNC but actually operating indian style business
Area Service Manager,New Delhi,Full Time,After Sales Service & Repair Department,9 May 2023,3.0,2.0,4.0,3.0,5.0,3.0,3.0,Incentive given timely of every quarter,There is no work life balance in service field here
Deputy Sales Manager,Ludhiana,Full Time,Retail & B2C Sales Department,2 Feb 2023,1.0,4.0,1.0,1.0,1.0,1.0,1.0,Company is having older seniors who are into comfortable zone. They feel that Company is just working because of them. New Employees are nothing for them. They just exploit the new joiners. HR is Dummy here. Travel expense are given after 5-6 months.,"HR is Dummy, Poor expense system, Arrogant Seniors"
Senior Engineer,Gurgaon/Gurugram,Full Time,Engineering & Manufacturing Department,1 Aug 2023,5.0,5.0,4.0,3.0,5.0,5.0,4.0,Work life balancing,No standardization on ctc
