Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Engineer Purchase,Greater Noida,,Procurement & Purchase Department,7 Mar 2022,1.0,1.0,1.0,3.0,4.0,1.0,1.0,"Very poor Work life balance.
Managers forced their employees to stay back till 8 to 9pm without any pending work.
Seems like you work for multiple Lalas",Very thing is fine about lg policies
Branch Product Trainer,Gorakhpur,,Marketing Department,3 May 2022,5.0,4.0,4.0,5.0,5.0,4.0,4.0,Team spirit is a very good thing,If You work on honestly then company will support you and work culture and policies favour with his emp.
Service Engineer,Delhi NCR,,"Operations, Maintenance & Support Department",8 Apr 2022,5.0,5.0,4.0,4.0,5.0,5.0,5.0,Management will give full freedom to perform... You will get job good satisfaction...,Salary increment will be very less before joining you should be in best salary
Key Account Manager,Chennai Tamil Nadu,,BD / Pre Sales Department,8 Dec 2022,5.0,4.0,5.0,4.0,5.0,5.0,4.0,Quick promotions. Every 2 years.,"Politics, late sitting, less increments, stress at work."
Assistant Manager Research    (working remotely),,,Engineering & Manufacturing Department,8 Oct 2022,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,
Senior Engineer II In Research And Development Refrigerator At LG,Pune,Full Time,Engineering & Manufacturing Department,0 Apr 2022,1.0,1.0,1.0,3.0,1.0,1.0,1.0,Compensation is the only good part,"Work life balace is worst,Company Culture is terrible,Skill Development is zero"
Senior Sales Executive,"Lucknow, Uttar Pradesh",Full Time,,5 Nov 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Overall culture is very good,Nothing but overall good
Computer Teacher,"Thiruvananthapuram, Kerala",,,3 Jun 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,It is a good working electronic device,Nil
Team Lead,Vijayawada,,Banking Operations Department,6 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Lg is a standard top running company. It's friendly culture  superb management,Nothing....
Assistant Manager,Greater Noida,,,8 Apr 2022,5.0,3.0,4.0,5.0,5.0,5.0,5.0,Good CSR Activities.,Work Life Balance needs improvement.
Senior Design Engineer,Greater Noida,,Engineering & Manufacturing Department,7 Jan 2022,2.0,1.0,3.0,3.0,4.0,1.0,3.0,Job security is good but work culture and management is worst. Company policies here are only on papers nobody follows them.,Work life balance. No family time and no leaves
Electrical Engineer,"Noida, Uttar Pradesh",,,3 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Kite and display solding,Noting
